Title,ISSN,Type,SJR,Year
"11th International Workshop on Worst-Case Execution Time Analysis, WCET 2011, Held at the 23rd Euromicro Conference on Real-Time Systems",-,conference and proceedings,"0,103",2014
"11th International Workshop on Worst-Case Execution Time Analysis, WCET 2011, Held in Conjunction with the 23rd Euromicro Conference on Real-Time Systems, ECRTS 2011",-,conference and proceedings,"0,305",2014
"11th Marcel Grossmann Meeting on Recent Developments in Theoretical and Experimental General Relativity, Gravitation and Relativistic Field Theories - Proc. of the MG11 Meeting on General Relativity",-,conference and proceedings,"0,119",2011
"11th Middle Eastern Simulation Multiconference, MESM 2010 - 1st GAMEON-ARABIA Conference, GAMEON-ARABIA 2010",-,conference and proceedings,"0,108",2013
11th North American Conference on Multiphase Technology,-,conference and proceedings,"0,167",2020
"11th Nuclear Plant Instrumentation, Control, and Human-Machine Interface Technologies, NPIC and HMIT 2019",-,conference and proceedings,"0,109",2020
"11th Petroleum and Chemical Industry Conference Europe Electrical and Instrumentation Applications, PCIC 2014",-,conference and proceedings,"0,158",2017
"11th ROLCG Conference on Grid, Cloud and High-Performance Computing in Science - Proceedings",-,conference and proceedings,"0,106",2020
"11th South African Conference on Computational and Applied Mechanics, SACAM 2018",-,conference and proceedings,"0,111",2020
"11th Specialist Meeting on Microwave Radiometry and Remote Sensing of the Environment, MicroRad 2010 - Proceedings",-,conference and proceedings,"0,263",2013
"11th Symposium on Neural Network Applications in Electrical Engineering,NEUREL 2012 - Proceedings",-,conference and proceedings,"0,127",2015
11th Topical Conference on Gas Utilization 2011 - Topical Conference at the 2011 AIChE Spring Meeting and 7th Global Congress on Process Safety,-,conference and proceedings,"0,105",2014
"11th UK-Europe-China Workshop on Millimeter Waves and Terahertz Technologies, UCMMT 2018 - Proceedings",-,conference and proceedings,"0,101",2020
"11th USENIX Workshop on Cyber Security Experimentation and Test, CSET 2018, co-located with USENIX Security 2018",-,conference and proceedings,"0,169",2020
"11th USENIX Workshop on Hot Topics in Cloud Computing, HotCloud 2019, co-located with USENIX ATC 2019",-,conference and proceedings,"0,184",2020
"11th WSEAS International Conference on Robotics, Control and Manufacturing Technology, ROCOM'11, 11th WSEAS International Conference on Multimedia Systems and Signal Processing, MUSP'11",-,conference and proceedings,"0,116",2014
